VOL_WINDOW,SORTINO_WINDOW,IR_WINDOW,TACTICAL_MAX_WEIGHT,ALLOC_SMOOTH_SPAN,NO_TRADE_BAND,run_id,cagr,ann_vol,sharpe,sortino,max_dd,calmar,status
16,189,378,0.375,10,0.075,25,0.175893916429807,0.22543038024914083,0.7802582608227552,0.9699366417859319,-0.3090686026073375,0.5691096246786188,ok
16,126,252,0.625,8,0.15,26,0.1986879066904641,0.23524006705717768,0.8446176247780564,1.0408550063733322,-0.3662729962855117,0.5424585178416643,ok
16,315,189,0.25,15,0.125,27,0.15797417455487905,0.23569213231512545,0.6702564612706893,0.8269067557153403,-0.3411359383388856,0.4630827678963187,ok
21,315,252,0.375,8,0.05,28,0.16072726432254192,0.22639754035309126,0.7099337920008782,0.8626091258581506,-0.29977953316422834,0.5361515598681336,ok
21,252,189,0.75,15,0.05,29,0.1759287552279667,0.23072845044176157,0.7624926830268514,0.9064089564563524,-0.3523458810033404,0.49930697281600633,ok
11,315,378,0.25,13,0.15,30,0.1496884699435368,0.23881931107477106,0.6267854524405331,0.7793797460331866,-0.4220299012892434,0.3546868823423627,ok
26,378,378,0.25,13,0.05,31,0.12989693612343434,0.2252484994653259,0.5766828033561675,0.693503989796738,-0.3677998492052902,0.35317289119096784,ok
32,315,252,0.375,5,0.15,32,0.14571170616375761,0.22755229464565915,0.6403438224635686,0.7767886105086693,-0.3299805374656435,0.44157666777219745,ok
11,252,378,0.5,10,0.075,33,0.15533893908327934,0.22706723132445833,0.6841098919346675,0.8366302758884949,-0.311800149059732,0.4982003361823949,ok
11,315,252,0.5,15,0.1,34,0.16367813718607538,0.2398887772187775,0.6823084392847676,0.8369738715224713,-0.3368079921245888,0.485968685462574,ok
26,126,189,0.75,5,0.125,35,0.1756250271348785,0.22752220608142842,0.7719027964770333,0.9197681447029247,-0.3288929651577969,0.533988396652439,ok
16,189,126,0.375,13,0.05,36,0.17316265715422618,0.22604756919081065,0.7660452079803459,0.9409590740908917,-0.3145500260796863,0.5505091171423339,ok
16,252,126,0.375,5,0.075,37,0.16514077027146157,0.22673811810325353,0.7283326317291681,0.8887261410466114,-0.31339224238509344,0.5269459416565204,ok
21,252,252,0.625,13,0.1,38,0.16793015586390636,0.2298234590302957,0.7306919692726822,0.8864726290694082,-0.31010659240863064,0.5415239790923989,ok
32,126,315,0.5,10,0.125,39,0.1535844287722643,0.21711516728242244,0.7073869167900295,0.8752042991859466,-0.349006457659724,0.4400618538755142,ok
11,126,189,0.75,8,0.1,40,0.19387970855074332,0.2412732946970365,0.80356886904618,0.9645466653670681,-0.3821975378266698,0.5072761840728278,ok
