Date,portfolio_plot,benchmark_plot,es_only_plot,es_weighted_plot,alts_weighted_plot
2023-10-05,15917092.588818127,4560988.572947113,11996282.340269113,5215680.047430576,3564576.7876343736
2023-10-06,16335467.560257455,4614934.892373104,12256811.25093475,5272311.350141516,3619566.5899616275
2023-10-09,16515150.224295326,4643901.142705285,12404980.953695696,5302262.2097955,3638818.190860466
2023-10-10,16668163.75931587,4668083.975551419,12528707.725541346,5327135.508153731,3655462.027359081
2023-10-11,16830065.91232263,4687483.390911503,12627961.069988951,5346998.38547696,3677338.6303531136
2023-10-12,16629972.690943222,4656391.177252188,12458441.287937148,5311086.517631851,3658316.614755402
2023-10-13,16453593.080711652,4631676.853574271,12323723.075437656,5282403.364412757,3639273.2155607645
2023-10-16,16769060.836852176,4678182.301355298,12557166.026683947,5336661.012111613,3671669.2579272753
2023-10-17,16748128.179254603,4678979.537602973,12561168.690043438,5337583.019148393,3666451.5995823625
2023-10-18,16331222.187656948,4615732.128620777,12243624.063523697,5264333.0530269975,3625500.0552761885
2023-10-19,16095031.287057146,4574010.0983258,12050070.511700006,5223156.477605074,3601424.0743565913
2023-10-20,15787037.847526135,4516077.597661437,11781371.085033882,5165623.587480717,3572177.0278641353
2023-10-23,15776122.058028782,4508902.471432365,11748091.798244959,5158438.958324373,3574675.459118214
2023-10-24,15966719.919031838,4540260.43050757,11893534.60717433,5189816.472267257,3596118.7224814724
2023-10-25,15481472.672750315,4474887.058198242,11590323.327541914,5124790.046101103,3531886.4786220817
2023-10-26,15145766.727185525,4418283.284613337,11327786.731762627,5067449.4905171655,3494817.535073498
2023-10-27,15120272.311180115,4398352.37842147,11246719.456521705,5047042.549263953,3503008.6656647106
2023-10-30,15409779.777553223,4449375.498272652,11454095.539146842,5099161.668498901,3533906.2847110596
2023-10-31,15486626.482628401,4477544.512357159,11568584.418096136,5124107.648466383,3534240.9671012727
2023-11-01,15711871.072119784,4524049.960138185,11757599.07673884,5165310.380012664,3557225.905431711
2023-11-02,16118366.201901227,4608822.747807597,12154775.10243721,5251913.9229748985,3589616.119155507
2023-11-03,16390189.060745858,4651607.759766141,12355264.062710457,5295242.489943167,3620537.4912602883
2023-11-06,16415078.61247094,4660377.358490562,12399257.780435013,5304048.267249586,3620014.6996906013
2023-11-07,16471917.739003874,4672867.393037465,12461966.173067063,5316591.63707479,3623988.569246632
2023-11-08,16476645.257819764,4676587.828859948,12480645.268744694,5320323.872607663,3622484.6392854815
2023-11-09,16295499.290925754,4636991.761892103,12281846.3218899,5280585.743530154,3609715.4298189934
2023-11-10,16637411.320209019,4709540.260430504,12646088.68760372,5353654.033357593,3635506.252369865
