Date,ES=F,NQ=F,RTY=F,GC=F,SI=F,ZN=F
2024-07-11,47655887.5,33115635.0,643680.029296875,724500.0,2197579.936981201,555781.25
2024-07-12,47867137.5,19703040.0,650100.0,724200.0,2162019.97756958,555937.5
2024-07-15,48021350.0,19760400.0,662280.029296875,726869.970703125,2147040.0619506836,554921.875
2024-07-16,48310762.5,19774080.0,685259.9853515625,738719.970703125,2183649.9786376953,556640.625
2024-07-17,51878800.0,15598050.0,678269.970703125,736440.0146484375,2109589.9391174316,557187.5
2024-07-18,51469400.0,7959700.0,665100.0,735540.0146484375,2099650.058746338,556093.75
2024-07-19,48039937.5,7885200.0,660690.0146484375,718650.0,2036159.954071045,554140.625
2024-07-22,45727612.5,8000400.0,671609.9853515625,717600.0,2038680.0384521484,553593.75
2024-07-23,45633887.5,7970000.0,678600.0,721380.029296875,2039239.9978637695,554375.0
2024-07-24,38851200.0,7681300.0,664380.029296875,723990.0146484375,2038119.945526123,553359.375
2024-07-25,24485625.0,4558140.0,672090.0146484375,705569.970703125,1946489.9444580078,553984.375
2024-07-26,24745500.0,4601880.0,683159.9853515625,714000.0,1950200.0427246094,556015.625
2024-07-29,24763500.0,4610220.0,675390.0146484375,713190.0146484375,1939209.9380493164,556718.75
2024-07-30,24626250.0,4544700.0,677730.029296875,721500.0,1985549.9839782715,557812.5
2024-07-31,30013200.0,4681260.0,681900.0,727950.0,2014459.9914550781,559062.5
2024-08-01,29593350.0,4565580.0,659430.029296875,730500.0,1983169.9562072754,563671.875
2024-08-02,25536000.0,4453500.0,635550.0,727709.9853515625,1977220.0202941895,570703.125
2024-08-05,19043875.0,4323180.0,614700.0,720509.9853515625,1895320.0149536133,570390.625
2024-08-06,14745500.0,1090740.0,621780.029296875,716730.029296875,1896720.0469970703,566953.125
2024-08-07,14637000.0,1077990.0,613740.0146484375,717150.0,1878099.9946594238,564453.125
2024-08-08,14975100.0,1111515.0,628500.0,726659.9853515625,1925000.0,563281.25
2024-08-09,15036700.0,1116960.0,626969.970703125,729630.029296875,1924089.9658203125,564765.625
2024-08-12,15035300.0,1118370.0,621450.0,738719.970703125,1954189.9871826172,566171.875
2024-08-13,15285200.0,1146255.0,631500.0,740009.9853515625,1938649.9786376953,568125.0
2024-08-14,18895650.0,1146900.0,627540.0146484375,3415159.86328125,1907779.9797058105,568828.125
2024-08-15,19207875.0,1174875.0,643680.029296875,3434340.13671875,1983939.9337768555,564765.625
2024-08-16,22034087.5,1176345.0,645480.029296875,3498040.13671875,2014459.9914550781,565546.875
2024-08-19,22238500.0,1191465.0,652980.029296875,3502520.068359375,2046799.9839782715,566093.75
2024-08-20,22198012.5,1188570.0,645509.9853515625,3515820.068359375,2061849.9946594238,567812.5
2024-08-21,22283925.0,1194570.0,653790.0146484375,3511759.86328125,2063319.9882507324,569453.125
2024-08-22,22096300.0,1174695.0,647790.0146484375,3470459.86328125,2030420.036315918,566484.375
2024-08-23,25436250.0,1187445.0,668159.9853515625,3511759.86328125,2085019.9508666992,568515.625
2024-08-26,25366500.0,1175475.0,668280.029296875,3524779.931640625,2098389.949798584,567968.75
2024-08-27,25401375.0,1179225.0,663059.9853515625,3522400.0,2096570.0149536133,567578.125
2024-08-28,25246125.0,1164945.0,658709.9853515625,3501400.0,2042320.0416564941,567656.25
2024-08-29,25245000.0,1163595.0,663150.0,3535979.931640625,2068989.9444580078,566562.5
2024-08-30,25474500.0,1177380.0,666930.029296875,3491320.068359375,2011170.0630187988,565234.375
2024-09-03,24937875.0,1140390.0,646050.0,3485859.86328125,1956570.0149536133,567421.875
2024-09-04,24885000.0,1137750.0,644940.0146484375,3490759.86328125,1971689.9871826172,570156.25
2024-09-05,38034525.0,1137810.0,641280.029296875,3515959.86328125,2010399.9519348145,571171.875
2024-09-06,34413825.0,1107495.0,628950.0,6233750.0,1946560.0395202637,572578.125
2024-09-09,29863275.0,1121535.0,630690.0146484375,6254500.1220703125,1980370.0256347656,572578.125
2024-09-10,29996800.0,1131840.0,630300.0,6280750.1220703125,1977989.9978637695,574609.375
2024-09-11,30308812.5,1156260.0,631800.0,6280250.244140625,1999409.9807739258,573906.25
2024-09-12,34453837.5,1166835.0,639750.0,6377999.8779296875,2082010.0021362305,573437.5
2024-09-13,34622962.5,1171815.0,655440.0146484375,6453250.1220703125,2148929.958343506,574609.375
